School District,County,Median List Price (District),Median List Price (County),List Price Premium (vs County),Listing Views (vs County),Days on Market (District),Days on Market (County),Days on Market (vs County %),Median Days on Market (vs County),Avg. School Rating
Grafton School District,"Worcester, MA","$380,000 ","$318,000 ",120%,105.56%,45,55,82%,-10,7
Murrieta Valley Unified School District,"Riverside, CA","$460,000 ","$385,000 ",119%,157.69%,52,65,80%,-13,7.7
Hartford Uhs School District,"Washington, WI","$280,000 ","$234,000 ",119%,113.51%,53,48,109%,5,8.9
Verona Area School District,"Dane, WI","$340,000 ","$285,000 ",119%,90.32%,51,51,100%,0,7.4
Mcallen Isd,"Hidalgo, TX","$227,000 ","$190,000 ",119%,168.18%,97,113,86%,-16,5.7
Salem Chsd 600 School District,"Marion, IL","$110,000 ","$92,000 ",119%,112.20%,90,76,118%,14,5.9
Kittatinny Regional School District,"Sussex, NJ","$287,000 ","$240,000 ",119%,121.05%,81,78,104%,3,7.2
Medford Lakes Borough School District,"Burlington, NJ","$286,000 ","$240,000 ",119%,167.14%,95,74,128%,21,8
Solvang Elementary School District,"Santa Barbara, CA","$734,000 ","$615,000 ",119%,57.95%,79,63,125%,16,7.5
Lexington 03 School District,"Lexington, SC","$227,000 ","$190,000 ",119%,55.00%,75,58,128%,17,6
Canyons District School District,"Salt Lake, UT","$370,000 ","$310,000 ",119%,110.53%,44,39,113%,5,6.5
Hartland Consolidated School District,"Livingston, MI","$340,000 ","$285,000 ",119%,96.84%,45,38,118%,7,10
Rsu 68/Msad 68 School District,"Piscataquis, ME","$149,000 ","$125,000 ",119%,111.11%,120,144,84%,-24,5
Eugene Sd 4J School District,"Lane, OR","$369,000 ","$310,000 ",119%,121.43%,46,47,99%,-1,7.3
Talawanda City School District,"Butler, OH","$190,000 ","$159,000 ",119%,105.56%,66,58,114%,8,6
Hilton Central School District,"Monroe, NY","$200,000 ","$168,000 ",119%,83.64%,53,39,136%,14,8
New Philadelphia City School District,"Tuscarawas, OH","$149,000 ","$125,000 ",119%,120.00%,46,62,74%,-16,5
Collingswood Borough School District,"Camden, NJ","$225,000 ","$189,000 ",119%,109.09%,72,79,91%,-7,5.1
Marana Unified District School District,"Pima, AZ","$250,000 ","$210,000 ",119%,105.88%,62,65,95%,-3,7.6
East Lyme School District,"New London, CT","$339,000 ","$285,000 ",119%,108.57%,69,79,87%,-10,9
Rsu 85/Msad 19 School District,"Washington, ME","$187,000 ","$157,000 ",119%,143.75%,116,208,56%,-92,5
Deer River Public School District,"Itasca, MN","$220,000 ","$185,000 ",119%,75.00%,86,82,105%,4,4
Hawthorne School District,"Passaic, NJ","$410,000 ","$345,000 ",119%,107.14%,61,58,105%,3,4
Boyertown Area School District,"Berks, PA","$190,000 ","$160,000 ",119%,122.73%,83,81,102%,2,8
Thousand Islands Central School District,"Jefferson, NY","$196,000 ","$165,000 ",119%,170.00%,73,82,89%,-9,8
Rsu 64/Msad 64 School District,"Penobscot, ME","$158,000 ","$133,000 ",119%,92.50%,108,98,110%,10,4
High Point Regional School District,"Sussex, NJ","$285,000 ","$240,000 ",119%,89.47%,81,78,104%,3,6.3
Troy H S School District,"Lincoln, MT","$355,000 ","$299,000 ",119%,55.56%,117,121,97%,-4,3.1
Fremont Unified School District,"Alameda, CA","$889,000 ","$749,000 ",119%,51.52%,31,31,100%,0,8.1
Secaucus School District,"Hudson, NJ","$439,000 ","$370,000 ",119%,53.85%,48,57,84%,-9,6
Branford School District,"New Haven, CT","$350,000 ","$295,000 ",119%,125.93%,76,71,107%,5,6
Del Norte Consolidated School District No. C-7 School District,"Rio Grande, CO","$267,000 ","$225,000 ",119%,105.00%,182,142,128%,40,5.3
Dwight Twp Hsd 230 School District,"Livingston, IL","$119,000 ","$100,000 ",119%,113.04%,132,131,101%,1,8.4
Rowland Unified School District,"Los Angeles, CA","$652,000 ","$550,000 ",119%,64.10%,47,46,102%,1,6.5
Broken Arrow School District,"Wagoner, OK","$190,000 ","$160,000 ",119%,115.38%,58,65,89%,-7,5.9
School District No. Re-3 Fort Morgan,"Morgan, CO","$189,000 ","$160,000 ",118%,106.00%,39,52,75%,-13,4
Vandalia-Butler City School District,"Montgomery, OH","$160,000 ","$135,000 ",118%,81.82%,69,61,113%,8,9
Dexter Community School District,"Washtenaw, MI","$385,000 ","$325,000 ",118%,85.19%,59,45,131%,14,9.5
Union Elementary School District,"Santa Clara, CA","$1,125,000 ","$950,000 ",118%,106.25%,26,32,81%,-6,8.8
Big Foot Uhs School District,"Walworth, WI","$325,000 ","$275,000 ",118%,102.63%,94,81,116%,13,4.9
West Sonoma County Union High School District,"Sonoma, CA","$727,000 ","$615,000 ",118%,111.32%,37,34,109%,3,7.1
Slinger School District,"Washington, WI","$277,000 ","$234,000 ",118%,105.41%,41,48,85%,-7,9
Bermudian Springs School District,"Adams, PA","$260,000 ","$220,000 ",118%,106.90%,44,68,65%,-24,4
Charles City Community School District,"Floyd, IA","$130,000 ","$110,000 ",118%,111.76%,248,104,238%,144,7
Stratham School District,"Rockingham, NH","$440,000 ","$373,000 ",118%,75.00%,62,52,119%,10,9
South Whidbey School District,"Island, WA","$549,000 ","$465,000 ",118%,91.30%,53,54,98%,-1,6
County Of Woodford School,"Woodford, IL","$210,000 ","$178,000 ",118%,113.95%,67,68,99%,-1,9.2
Ithaca City School District,"Tompkins, NY","$300,000 ","$254,000 ",118%,126.92%,61,66,92%,-5,8.1
Edgartown School District,"Dukes, MA","$1,528,000 ","$1,295,000 ",118%,109.72%,126,118,107%,8,7.5
Wabeno Area School District,"Oconto, WI","$180,000 ","$153,000 ",118%,64.29%,102,95,107%,7,5
College Community School District,"Linn, IA","$230,000 ","$195,000 ",118%,84.62%,62,60,103%,2,5.8
Lapeer Community School District,"Lapeer, MI","$230,000 ","$195,000 ",118%,106.25%,54,60,90%,-6,6.7
Annandale Public School District,"Wright, MN","$295,000 ","$250,000 ",118%,107.69%,61,47,130%,14,8
Fountain Lake School District,"Garland, AR","$260,000 ","$220,000 ",118%,133.33%,80,95,84%,-15,7.3
Celina City School District,"Mercer, OH","$165,000 ","$140,000 ",118%,95.83%,116,107,108%,9,6
Tomball Isd School District,"Harris, TX","$330,000 ","$280,000 ",118%,92.86%,54,51,106%,3,8.7
Weston School District,"Fairfield, CT","$925,000 ","$785,000 ",118%,100.00%,89,75,119%,14,9.7
Pentucket School District,"Essex, MA","$530,000 ","$450,000 ",118%,66.67%,46,45,102%,1,7
Hauppauge Union Free School District,"Suffolk, NY","$540,000 ","$458,000 ",118%,106.25%,65,68,96%,-3,7
Carterville Cusd 5 School District,"Williamson, IL","$169,000 ","$144,000 ",118%,146.88%,60,79,76%,-19,8.2
Eastern York School District,"York, PA","$230,000 ","$195,000 ",118%,92.68%,72,65,110%,7,6
Kings Park Central School District,"Suffolk, NY","$539,000 ","$458,000 ",118%,156.25%,48,68,71%,-20,8
Mansfield Township School District,"Burlington, NJ","$282,000 ","$240,000 ",118%,71.43%,81,74,109%,7,6
Paulding County School District,"Carroll, GA","$200,000 ","$170,000 ",118%,84.62%,56,61,92%,-5,4.9
Commack Union Free School District,"Suffolk, NY","$539,000 ","$458,000 ",118%,181.25%,59,68,87%,-9,9
Pittsburg School District,"Coos, NH","$139,000 ","$118,000 ",118%,128.57%,104,193,54%,-89,5
Narragansett School District,"Washington, RI","$529,000 ","$450,000 ",118%,109.52%,59,59,100%,0,9.3
Amherst School District,"Hampshire, MA","$335,000 ","$285,000 ",118%,63.33%,83,69,120%,14,7
Lawrence Union Free School District,"Nassau, NY","$704,000 ","$599,000 ",118%,50.00%,77,66,117%,11,4.2
Groton School District,"New London, CT","$335,000 ","$285,000 ",118%,100.00%,74,79,94%,-5,5.6
Mainland Regional School District,"Atlantic, NJ","$235,000 ","$200,000 ",118%,138.10%,109,103,106%,6,7.2
Woodland Park School District No. Re-2 School District,"Teller, CO","$349,000 ","$297,000 ",118%,130.77%,42,52,81%,-10,7
Cons Sd 158 School District,"McHenry, IL","$275,000 ","$234,000 ",117%,87.18%,48,58,83%,-10,9
Prior Lake-Savage Area School District,"Scott, MN","$370,000 ","$315,000 ",117%,88.00%,45,45,100%,0,8.8
Dover School District,"Strafford, NH","$341,000 ","$290,000 ",117%,95.24%,60,62,97%,-2,4.8
Snohomish School District,"Snohomish, WA","$499,000 ","$425,000 ",117%,113.79%,31,23,135%,8,6.3
Duneland School Corporation School District,"Porter, IN","$270,000 ","$230,000 ",117%,110.20%,55,55,100%,0,6.6
Fall Mountain Regional School District,"Cheshire, NH","$227,000 ","$194,000 ",117%,101.79%,61,76,80%,-15,4
Artesia Public School District,"Eddy, NM","$200,000 ","$170,000 ",117%,139.29%,59,69,86%,-10,7
Norwalk City School District,"Huron, OH","$135,000 ","$115,000 ",117%,86.15%,67,68,99%,-1,5
Au Gres-Sims School District,"Arenac, MI","$115,000 ","$98,000 ",117%,111.11%,73,89,82%,-16,5.5
Manistee Area Public Schools,"Manistee, MI","$164,000 ","$140,000 ",117%,117.24%,97,93,104%,4,6.8
Cascade School District,"Chelan, WA","$445,000 ","$379,000 ",117%,75.00%,47,50,94%,-3,6
Troy Elementary,"Lincoln, MT","$350,000 ","$299,000 ",117%,55.56%,150,121,124%,29,3
Sherwood Sd 88J School District,"Washington, OR","$549,000 ","$469,000 ",117%,86.96%,31,25,124%,6,8.7
New London School District,"Waupaca, WI","$158,000 ","$135,000 ",117%,160.00%,71,88,81%,-17,5
Point Arena Joint Union High School District,"Mendocino, CA","$619,000 ","$529,000 ",117%,129.41%,93,72,129%,21,3.4
East Greenbush Central School District,"Rensselaer, NY","$225,000 ","$192,000 ",117%,141.67%,74,77,97%,-3,8
Wyomissing Area School District,"Berks, PA","$187,000 ","$160,000 ",117%,122.73%,88,81,109%,7,8
Fontana Unified School District,"San Bernardino, CA","$345,000 ","$295,000 ",117%,191.67%,49,54,92%,-5,4.7
Jersey Shore Area School District,"Lycoming, PA","$170,000 ","$145,000 ",117%,88.33%,73,65,112%,8,5
Ocean Springs School Dist School District,"Jackson, MS","$175,000 ","$150,000 ",117%,138.71%,79,88,90%,-9,8.8
Duluth Public School District,"St. Louis, MN","$186,000 ","$159,000 ",117%,245.00%,41,62,66%,-21,5.9
Regional School District 14 School District,"Litchfield, CT","$419,000 ","$359,000 ",117%,82.35%,108,93,116%,15,7.2
Oxford City School District,"Calhoun, AL","$140,000 ","$120,000 ",117%,135.71%,97,102,95%,-5,7
Poplarville Separate School Dist School District,"Pearl River, MS","$210,000 ","$180,000 ",117%,75.00%,125,112,112%,13,6.7
Greenwich Central School District,"Washington, NY","$175,000 ","$150,000 ",117%,115.38%,159,104,153%,55,6.5
Salem School District,"Kenosha, WI","$245,000 ","$210,000 ",117%,85.45%,59,54,109%,5,7.5
Northfield Public School District,"Rice, MN","$280,000 ","$240,000 ",117%,114.81%,49,53,92%,-4,7.5
Steamboat Springs School District No. Re 2 School District,"Routt, CO","$595,000 ","$510,000 ",117%,78.57%,121,79,153%,42,9
Byram Township School District,"Sussex, NJ","$280,000 ","$240,000 ",117%,173.68%,72,78,92%,-6,7.3
Winfield School District,"Cowley, KS","$93,000 ","$80,000 ",117%,111.11%,72,84,86%,-12,5
Dawson County School District,"Dawson, GA","$350,000 ","$300,000 ",117%,100.00%,61,65,93%,-4,7
Clear Lake Community School District,"Cerro Gordo, IA","$225,000 ","$193,000 ",117%,109.52%,81,81,100%,0,6
North Lakeland School District,"Vilas, WI","$309,000 ","$265,000 ",117%,90.00%,97,83,116%,14,7
Kasson-Mantorville School District,"Dodge, MN","$210,000 ","$180,000 ",117%,147.50%,51,47,109%,4,8.3
Lake City Area School District,"Missaukee, MI","$157,000 ","$135,000 ",117%,111.11%,59,65,91%,-6,6
Coudersport Area School District,"Potter, PA","$140,000 ","$120,000 ",117%,113.33%,172,172,100%,0,5
Golf Esd 67 School District,"Cook, IL","$310,000 ","$266,000 ",117%,129.03%,39,54,72%,-15,8.7
M S D Pike Township School District,"Marion, IN","$140,000 ","$120,000 ",116%,127.27%,55,58,95%,-3,4
Aransas Pass Isd School District,"San Patricio, TX","$259,000 ","$223,000 ",116%,56.67%,104,73,142%,31,3.5
Athens Isd School District,"Henderson, TX","$285,000 ","$245,000 ",116%,70.59%,100,107,93%,-7,4.1
Cassville R-Iv School District,"Barry, MO","$158,000 ","$136,000 ",116%,81.82%,125,100,125%,25,5.7
East Granby School District,"Hartford, CT","$290,000 ","$250,000 ",116%,146.67%,61,61,100%,0,8.2
Southington School District,"Hartford, CT","$290,000 ","$250,000 ",116%,122.22%,66,61,108%,5,7.9
Sterling Cusd 5 School District,"Whiteside, IL","$98,000 ","$84,000 ",116%,142.31%,60,68,88%,-8,7
Kings Local School District,"Warren, OH","$316,000 ","$272,000 ",116%,68.52%,59,48,122%,11,8.9
Drummond Area School District,"Bayfield, WI","$232,000 ","$200,000 ",116%,56.25%,151,143,106%,8,5
Rsu 28/Msad 28 School District,"Knox, ME","$447,000 ","$385,000 ",116%,113.24%,150,146,102%,4,9.3
Mexico Central School District,"Oswego, NY","$139,000 ","$120,000 ",116%,134.78%,79,69,114%,10,5
Rsu 74/Msad 74 School District,"Somerset, ME","$149,000 ","$129,000 ",116%,85.71%,140,144,98%,-4,5
Collinsville Cusd 10 School District,"Madison, IL","$145,000 ","$125,000 ",116%,130.00%,58,68,85%,-10,5
New Boston School District,"Hillsborough, NH","$359,000 ","$310,000 ",116%,82.98%,74,53,139%,21,6.9
Culver Community Schools Corporation,"Marshall, IN","$239,000 ","$206,000 ",116%,79.17%,125,113,111%,12,4.7
Lakeview Community Schools (Montcalm) School District,"Montcalm, MI","$160,000 ","$138,000 ",116%,69.39%,62,58,107%,4,4.3
Curtis Creek Elementary School District,"Tuolumne, CA","$336,000 ","$290,000 ",116%,91.84%,51,61,84%,-10,7
Fremont County School District # 1 School District,"Fremont, WY","$251,000 ","$216,000 ",116%,163.16%,74,90,83%,-16,5
Canton Isd School District,"Van Zandt, TX","$220,000 ","$190,000 ",116%,100.00%,59,97,61%,-38,8.3
Columbia School District,"Tolland, CT","$289,000 ","$250,000 ",116%,128.21%,60,68,88%,-8,8
Woodland Park School District,"Passaic, NJ","$400,000 ","$345,000 ",116%,92.86%,54,58,93%,-4,5
Union-Endicott Central School District,"Broome, NY","$124,000 ","$107,000 ",116%,94.74%,88,79,111%,9,7
Amherst-Pelham School District,"Hampshire, MA","$330,000 ","$285,000 ",116%,76.67%,95,69,138%,26,7.1
Tantasqua School District,"Hampden, MA","$220,000 ","$190,000 ",116%,125.64%,55,62,89%,-7,6.8
Paradise Valley Unified District School District,"Maricopa, AZ","$375,000 ","$324,000 ",116%,100.00%,57,54,106%,3,8
Mayfield Central School District,"Fulton, NY","$199,000 ","$172,000 ",116%,126.67%,110,94,117%,16,6
Keller Isd School District,"Tarrant, TX","$289,000 ","$250,000 ",116%,102.82%,34,38,89%,-4,8.5
Oswego Cusd 308 School District,"Will, IL","$267,000 ","$231,000 ",116%,74.47%,47,54,87%,-7,7.9
Upper Deerfield Township School District,"Cumberland, NJ","$185,000 ","$160,000 ",116%,125.00%,83,105,79%,-22,2.3
Quincy School District,"Grant, WA","$289,000 ","$250,000 ",116%,20.00%,117,81,144%,36,4
Evansville Community School District,"Rock, WI","$170,000 ","$147,000 ",116%,93.18%,60,51,118%,9,6.7
Athens Area School District,"Bradford, PA","$182,000 ","$157,000 ",116%,113.33%,104,96,108%,8,4.5
Central Valley School District,"Spokane, WA","$260,000 ","$225,000 ",116%,113.33%,48,47,102%,1,7.7
Meeker School District Re1 School District,"Rio Blanco, CO","$260,000 ","$225,000 ",116%,107.69%,145,145,100%,0,6.7
Bonsall Union Elementary School District,"San Diego, CA","$797,000 ","$690,000 ",116%,70.97%,61,37,165%,24,6
Mustang School District,"Oklahoma, OK","$277,000 ","$240,000 ",115%,45.65%,62,53,117%,9,7
Blackhawk School District,"Beaver, PA","$162,000 ","$140,000 ",115%,101.43%,60,77,78%,-17,6.9
Hampshire School District,"Hampshire, MA","$329,000 ","$285,000 ",115%,126.67%,63,69,91%,-6,6
Park School District R-3 School District,"Larimer, CO","$449,000 ","$389,000 ",115%,160.00%,58,42,138%,16,5.7
Exeter Region Coop School District,"Rockingham, NH","$430,000 ","$372,000 ",115%,96.15%,58,52,111%,6,9.1
Buford City School District,"Gwinnett, GA","$300,000 ","$260,000 ",115%,105.88%,52,45,116%,7,8.5
Saraland City School District,"Mobile, AL","$173,000 ","$150,000 ",115%,163.64%,53,80,66%,-27,6
Yorktown Community School District,"Delaware, IN","$150,000 ","$130,000 ",115%,100.00%,58,60,97%,-2,6.7
Carthage R-Ix School District,"Jasper, MO","$141,000 ","$123,000 ",115%,135.71%,82,65,125%,17,5
Reeths-Puffer School District,"Muskegon, MI","$179,000 ","$155,000 ",115%,133.33%,41,52,79%,-11,6
Marshfield Unified School District,"Wood, WI","$150,000 ","$130,000 ",115%,117.65%,89,93,96%,-4,8
Morris School District,"Morris, NJ","$667,000 ","$579,000 ",115%,153.95%,54,60,91%,-6,5.3
Coxsackie-Athens Central School District,"Greene, NY","$230,000 ","$200,000 ",115%,66.67%,87,104,84%,-17,6
Whitehouse Isd School District,"Smith, TX","$265,000 ","$230,000 ",115%,119.15%,51,56,91%,-5,8.1
Corvallis K-12 School District,"Ravalli, MT","$439,000 ","$381,000 ",115%,66.67%,110,95,116%,15,8
Novi Community School District,"Oakland, MI","$420,000 ","$365,000 ",115%,110.67%,19,38,50%,-19,9.8
Allamuchy Township School District,"Warren, NJ","$298,000 ","$259,000 ",115%,109.09%,48,84,57%,-36,7
Arlington Public Schools,"Middlesex, MA","$640,000 ","$556,000 ",115%,162.30%,17,37,46%,-20,8.4
Burnt Hills-Ballston Lake Central School District,"Saratoga, NY","$345,000 ","$300,000 ",115%,153.33%,73,78,94%,-5,9
Rondout Valley Central School District,"Ulster, NY","$290,000 ","$252,000 ",115%,85.71%,76,88,86%,-12,5
Berlin School District,"Hartford, CT","$287,000 ","$250,000 ",115%,111.11%,73,61,120%,12,8.6
Moorpark Unified School District,"Ventura, CA","$689,000 ","$599,000 ",115%,118.37%,41,47,87%,-6,7.1
Kingston School District,"Plymouth, MA","$460,000 ","$400,000 ",115%,114.29%,40,51,78%,-11,7
Neosho R-V School District,"Newton, MO","$115,000 ","$100,000 ",115%,110.53%,73,82,89%,-9,6
Norwood School District,"Bergen, NJ","$700,000 ","$609,000 ",115%,94.74%,62,61,102%,1,9
Marion Cusd 2 School District,"Williamson, IL","$165,000 ","$144,000 ",115%,93.75%,79,79,100%,0,6.1
Deer Creek-Mackinaw Cusd 701 School District,"Tazewell, IL","$155,000 ","$135,000 ",115%,64.10%,53,60,88%,-7,8
Batesville Community School Corporation,"Franklin, IN","$184,000 ","$160,000 ",115%,100.00%,83,79,104%,4,8.3
Wallkill Central School District,"Ulster, NY","$289,000 ","$252,000 ",115%,107.14%,97,88,110%,9,7
Kenton County School District,"Kenton, KY","$178,000 ","$155,000 ",115%,100.00%,56,57,98%,-1,7.1
Sanger Unified School District,"Fresno, CA","$286,000 ","$249,000 ",115%,98.48%,65,51,127%,14,7.1
East Peoria Sd 86 School District,"Tazewell, IL","$155,000 ","$135,000 ",115%,103.85%,66,60,109%,6,4
Rsu 58/Msad 58 School District,"Franklin, ME","$170,000 ","$148,000 ",115%,65.38%,224,117,191%,107,8
Forsyth County School District,"Hall, GA","$333,000 ","$290,000 ",115%,115.38%,62,67,93%,-5,8.4
Tri-Valley Central School District,"Sullivan, NY","$195,000 ","$170,000 ",115%,100.00%,227,101,225%,126,5.9
Chico Unified School District,"Butte, CA","$350,000 ","$305,000 ",115%,111.90%,41,47,88%,-6,6.6
Coeur D Alene District School District,"Kootenai, ID","$389,000 ","$339,000 ",115%,115.52%,55,59,93%,-4,6.7
University City School District,"St. Louis, MO","$249,000 ","$217,000 ",115%,72.34%,53,48,110%,5,2.9
Mosinee School District,"Marathon, WI","$195,000 ","$170,000 ",115%,116.13%,78,62,126%,16,6.3
Magnolia Isd School District,"Montgomery, TX","$390,000 ","$340,000 ",115%,146.67%,65,61,107%,4,6.8
Elwood Union Free School District,"Suffolk, NY","$525,000 ","$458,000 ",115%,125.00%,62,68,91%,-6,8.4
Andover Regional School District,"Sussex, NJ","$275,000 ","$240,000 ",115%,147.37%,70,78,90%,-8,6.1
Lodi School District,"Columbia, WI","$264,000 ","$230,000 ",115%,92.31%,86,79,109%,7,7
Spencerport Central School District,"Monroe, NY","$192,000 ","$168,000 ",115%,102.73%,43,39,110%,4,7
Lansing School District,"Leavenworth, KS","$220,000 ","$192,000 ",115%,134.38%,64,62,103%,2,6
Sodus Central School District,"Wayne, NY","$172,000 ","$150,000 ",115%,100.00%,60,55,108%,5,5.7
Park County School District # 6 School District,"Park, WY","$349,000 ","$305,000 ",114%,108.00%,96,94,102%,2,9
Darby K-12 School District,"Ravalli, MT","$436,000 ","$381,000 ",114%,91.67%,119,95,125%,24,4
Greene Co. Tech School Dist. School District,"Greene, AR","$158,000 ","$138,000 ",114%,100.00%,81,81,100%,0,6.5
Buckeye Union Elementary School District,"El Dorado, CA","$629,000 ","$550,000 ",114%,116.95%,32,37,86%,-5,8.9
Walnut Creek Elementary School District,"Contra Costa, CA","$618,000 ","$540,000 ",114%,96.00%,35,34,103%,1,8.8
Campbell Union High School District,"Santa Clara, CA","$1,087,000 ","$950,000 ",114%,100.00%,27,32,84%,-5,7.3
Marshall Public School District,"Calhoun, MI","$160,000 ","$140,000 ",114%,135.71%,54,54,100%,0,8
Cherry Valley-Springfield Central School District,"Otsego, NY","$199,000 ","$174,000 ",114%,72.73%,109,92,118%,17,5
Harper Creek Community School District,"Calhoun, MI","$160,000 ","$140,000 ",114%,94.29%,60,54,111%,6,5
Alma School District,"Crawford, AR","$160,000 ","$140,000 ",114%,105.00%,90,84,107%,6,6
Elmbrook School District,"Waukesha, WI","$399,000 ","$349,000 ",114%,126.14%,39,47,83%,-8,9.7
Chsd 99 School District,"DuPage, IL","$400,000 ","$350,000 ",114%,100.00%,54,54,100%,0,9
Fulton County School District,"Fulton, GA","$380,000 ","$332,000 ",114%,110.53%,51,51,100%,0,6.5
Upper Dublin School District,"Montgomery, PA","$400,000 ","$350,000 ",114%,136.96%,62,65,95%,-3,9.4
Weber District School District,"Weber, UT","$240,000 ","$210,000 ",114%,100.00%,40,44,91%,-4,5
Minooka Ccsd 201 School District,"Grundy, IL","$200,000 ","$175,000 ",114%,163.64%,60,73,82%,-13,9
Garvey Elementary School District,"Los Angeles, CA","$628,000 ","$550,000 ",114%,107.69%,45,46,98%,-1,7.1
Central Montcalm Public School District,"Montcalm, MI","$157,000 ","$138,000 ",114%,102.04%,51,59,87%,-8,4
Potsdam Central School District,"St. Lawrence, NY","$145,000 ","$127,000 ",114%,164.29%,109,129,84%,-20,8
Glendale-River Hills School District,"Milwaukee, WI","$194,000 ","$170,000 ",114%,85.29%,43,45,96%,-2,8.3
Northern Wells Com School District,"Wells, IN","$105,000 ","$92,000 ",114%,134.38%,37,53,70%,-16,5
Tahoe-Truckee Joint Unified School District,"Nevada, CA","$599,000 ","$525,000 ",114%,80.00%,59,54,109%,5,7.3
Hancock Public School District,"Houghton, MI","$111,000 ","$97,000 ",114%,90.62%,83,90,93%,-7,8
Hamburg Area School District,"Berks, PA","$182,000 ","$160,000 ",114%,113.64%,74,81,91%,-7,6
Hooksett School District,"Merrimack, NH","$285,000 ","$250,000 ",114%,192.11%,45,68,66%,-23,7.5
North Stonington School Distr School District,"New London, CT","$325,000 ","$285,000 ",114%,54.29%,128,79,162%,49,6.7
Rsu 79/Msad 01 School District,"Aroostook, ME","$114,000 ","$100,000 ",114%,118.18%,139,200,70%,-61,9
Wilton School District,"Fairfield, CT","$895,000 ","$785,000 ",114%,123.81%,73,75,97%,-2,9.7
Los Banos Unified School District,"Merced, CA","$285,000 ","$250,000 ",114%,89.29%,37,46,81%,-9,4.4
Stanwood-Camano School District,"Island, WA","$530,000 ","$465,000 ",114%,86.96%,56,54,104%,2,6.9
Medford Area Public School District,"Taylor, WI","$159,000 ","$139,000 ",114%,122.22%,125,95,132%,30,6
Lenape Regional High School Distri,"Burlington, NJ","$274,000 ","$240,000 ",114%,114.29%,69,74,93%,-5,7.7
Green Local School District,"Stark, OH","$188,000 ","$165,000 ",114%,171.11%,45,42,107%,3,8.8
Centennial Public School District,"Washington, MN","$376,000 ","$330,000 ",114%,78.85%,42,45,93%,-3,8.7
Washington Township School District,"Warren, NJ","$295,000 ","$259,000 ",114%,113.64%,96,83,116%,13,5.5
Oxford School District,"Lafayette, MS","$302,000 ","$265,000 ",114%,93.33%,88,80,110%,8,8
Frenship Isd School District,"Lubbock, TX","$215,000 ","$189,000 ",114%,104.17%,38,44,86%,-6,8.3
Bradford Area School District,"Mc Kean, PA","$114,000 ","$100,000 ",114%,107.69%,98,97,101%,1,7.3
North Adams Community School District,"Adams, IN","$108,000 ","$95,000 ",114%,117.65%,45,47,96%,-2,6.3
Haddon Township School District,"Camden, NJ","$215,000 ","$189,000 ",114%,145.45%,69,79,87%,-10,6.9
Washington Township School District,"Camden, NJ","$215,000 ","$189,000 ",114%,130.30%,66,79,84%,-13,7.1
Greenville 01 School District,"Laurens, SC","$215,000 ","$189,000 ",114%,150.00%,57,67,85%,-10,6.7
Detroit Lakes Public School Dist. School District,"Becker, MN","$307,000 ","$270,000 ",114%,130.77%,75,78,96%,-3,8
Katy Isd School District,"Fort Bend, TX","$374,000 ","$329,000 ",114%,91.67%,50,49,102%,1,9.3
Winthrop Public School District,"Kennebec, ME","$199,000 ","$175,000 ",114%,133.33%,87,99,87%,-12,8.3
Rossford Exempted Village School District,"Wood, OH","$220,000 ","$193,000 ",114%,72.60%,61,53,115%,8,7.1
Norman School District,"Cleveland, OK","$250,000 ","$220,000 ",114%,100.00%,64,62,102%,2,8.1
Buckeye Local School District,"Medina, OH","$250,000 ","$220,000 ",114%,119.53%,60,55,109%,5,8.3
River Bend Cusd 2 School District,"Whiteside, IL","$95,000 ","$84,000 ",114%,153.85%,79,68,116%,11,7
Mt Vernon Twp Hsd 201 School District,"Jefferson, IL","$91,000 ","$80,000 ",114%,100.00%,79,79,100%,0,3.7
Zachary Community School District,"East Baton Rouge, LA","$258,000 ","$227,000 ",114%,126.47%,75,76,99%,-1,9
Burlington-Edison School District,"Skagit, WA","$369,000 ","$325,000 ",114%,76.92%,45,51,88%,-6,7
Wall Township School District,"Monmouth, NJ","$585,000 ","$515,000 ",114%,97.67%,58,65,89%,-7,6.1
Sonora Union High School District,"Tuolumne, CA","$329,000 ","$290,000 ",113%,100.00%,62,61,102%,1,7.5
Dublin Unified School District,"Alameda, CA","$850,000 ","$749,000 ",113%,127.27%,25,31,81%,-6,8.9
Hilliard City School District,"Franklin, OH","$216,000 ","$190,000 ",113%,116.85%,33,38,87%,-5,8.3
Riverview School District,"Allegheny, PA","$210,000 ","$185,000 ",113%,111.76%,79,65,122%,14,6
Mahopac Central School District,"Putnam, NY","$430,000 ","$379,000 ",113%,96.15%,65,73,89%,-8,6
Rockville Centre Union Free School District,"Nassau, NY","$680,000 ","$599,000 ",113%,85.00%,71,66,108%,5,7
Rsd-Advance Baton Rouge School District,"East Baton Rouge, LA","$257,000 ","$227,000 ",113%,78.43%,80,75,107%,5,4.4
Central Community School District,"East Baton Rouge, LA","$257,000 ","$227,000 ",113%,140.20%,74,75,99%,-1,8.3
Union-Scioto Local School District,"Ross, OH","$170,000 ","$150,000 ",113%,116.67%,68,73,93%,-5,5.3
Hewlett-Woodmere Union Free School District,"Nassau, NY","$679,000 ","$599,000 ",113%,75.00%,78,66,118%,12,7.9
Daviess County School District,"Daviess, KY","$170,000 ","$150,000 ",113%,103.12%,54,54,100%,0,7.9
